id,tweet,favourites,retweets,followers,is_covid
1337038291573624834,"Hospital admission rates for #COVID19 also continue to be highest in the North East.

Find out more in our weekly surveillance report: https://t.co/8dYt9zEVk9 https://t.co/od0BTIVwkN",8,5,512867,True
1284148286291611649,"""To support #healthworkers, WHO has published guidance &amp; training packages on how they can protect themselves.

We’re also driving research to better understand the extent of #COVID19 infection among health workers and the risk factors for infection""-@DrTedros",30,13,12269136,True
1249797102600884227,"Prevent the spread of #COVID19 in your home. If possible, have sick household member:
• stay in a separate room
• use a separate bathroom
• wear a cloth face covering when around others (within the home, in a vehicle, or in a doctor’s office)
https://t.co/Z8n4oVdVMi https://t.co/FmWeUxUrRz",45,36,1958449,True
1311964892778332160,"Make sure you only share the facts on #COVID19.

Follow the steps in the video to help protect yourself and others from #coronavirus misinformation 👇

Find out more 👉 https://t.co/MQ7c8hLosZ https://t.co/Rp5qhY3zwK",19,10,206117,True
1246437554154606592,"#CareForOthers, such as high-risk individuals &amp; healthcare pros, by putting at least 6 ft between yourself &amp; other people if #COVID19 is spreading in your community. Tips to help you find the Joy of Joining In on physical distancing: https://t.co/GY1tkRN6LK #PrepYourHealth https://t.co/DnQ4koG8Jj",38,18,1958449,True
1358160214353190916,"The pandemic may be increasing girls’ and women’s risk of undergoing female genital mutilation. Health workers should use #COVID19 safety measures while working to #EndFGM:
https://t.co/i2gmBFbQjx",127,44,12269136,True
1347932772099371008,RT @hans_kluge: Leaving no one behind: organising speedy «first wave» roll out of @WHO-approved #COVID19vaccines for countries outside the…,0,17,206117,True
1329098354874331139,"This document outlines the key steps for #ContactTracing in the context of the #COVID19 response, including contact identification, advice, and follow-up. 

Full report: https://t.co/uSPxePqi1K https://t.co/VzgQkobh8F",3,3,105552,True
1250398583112769536,"RT @DrTedros: The updated @WHO global #COVID19 strategy guides the public health response at national and subnational levels, including pra…",0,380,12269136,True
1331629419648073729,#COVID19 live Q&amp;A: How viruses enter the human population and how they can change over time. #AskWHO https://t.co/jJOBcL9y5O,307,131,12269136,True
1354062283253673985,"The WHO Strategic Advisory Group of Experts on Immunization has issued Interim recommendations for use of the Moderna mRNA-1273 vaccine against #COVID19 in people aged 18 years and older. 

This is what you need to know: https://t.co/M7OQBCPclb",665,397,12269136,True
1259871895765254144,"If you have chronic lung disease or asthma, you are at higher risk for getting seriously ill from #coronavirus. Learn how you can take steps to protect yourself and slow the spread at https://t.co/iH2iRfg300. #COVID19 https://t.co/laNfEx75o6",245,204,5554477,True
1286322779550371840,"""Don’t expect someone else to keep you safe. We all have a part to play in protecting ourselves and one another""-@DrTedros #COVID19",108,52,12269136,True
1246847724819034112,"RT @CDCgov: Need #COVID19 information in a different language? Check out CDC’s COVID-19 web pages in Spanish, simplified Chinese, Vietnames…",0,564,1958449,True
1348702466154622979,"The new #COVID19 variant is spreading fast.

If you go out, you can spread it. People will die. 

#StayHome to save lives.

Read the guidance 👇🏼
https://t.co/21jnNDeWbn https://t.co/p9vPpcQSNj",89,73,691759,True
